owner_org,maintainer,private,maintainer_email,num_tags,id,metadata_created,metadata_modified,author,author_email,state,version,license_id,type,resources.resource_group_id,resources.cache_last_updated,resources.revision_timestamp,resources.webstore_last_updated,resources.id,resources.size,resources.state,resources.hash,resources.description,resources.format,resources.tracking_summary.total,resources.tracking_summary.recent,resources.mimetype_inner,resources.mimetype,resources.cache_url,resources.name,resources.created,resources.url,resources.webstore_url,resources.last_modified,resources.position,resources.revision_id,resources.resource_type,num_resources,tags.vocabulary_id,tags.display_name,tags.name,tags.revision_timestamp,tags.state,tags.id,title,tracking_summary.total,tracking_summary.recent,groups.capacity,groups.description,groups.created,groups.title,groups.name,groups.is_organization,groups.state,groups.image_url,groups.revision_id,groups.type,groups.id,groups.approval_status,revision_timestamp,name,isopen,url,notes,license_title,license_url,organization.description,organization.created,organization.title,organization.name,organization.revision_timestamp,organization.is_organization,organization.state,organization.image_url,organization.revision_id,organization.type,organization.id,organization.approval_status,revision_id,extras.state,extras.value,extras.revision_timestamp,extras.package_id,extras.key,extras.revision_id,extras.id
867e7ae3-e9e9-45aa-b4cc-0b2d644f7440,Glasgow City Council,False,data@glasgow.gov.uk,1,83eda882-c5b1-43df-b709-2e6f3dd5ad71,2013-10-08T14:50:19.221119,2013-11-12T15:47:57.598100,Ordnance Survey,,active,None,uk-ogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,Post Codes,5,5,,,,,,,,,,,,,2013-11-12T15:47:57.598100,post-codes,False,None,,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,Great Britain's national mapping authority.,2013-09-26T16:12:45.932034,Ordnance Survey,ordnance-survey,2013-09-26T15:21:58.893644,True,active,,e45cc99c-f940-4934-a22a-616cac43ce55,organization,867e7ae3-e9e9-45aa-b4cc-0b2d644f7440,approved,f76fbf0f-d849-46c9-a040-e5193600f0ac,,,,,,,
ac8010de-0876-4ad6-8b8a-9f8297820153,Glasgow City Council,False,data@glasgow.gov.uk,2,804037fa-28bf-4879-900b-89f3093f1f0d,2013-11-11T15:52:49.492618,2013-11-12T15:18:27.138133,Driving Standards Agency,customer.services@dsa.gsi.gov.uk ,active,None,uk-ogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,Pass Rates for Practical Driving Test - Car Category,1,1,,,,,,,,,,,,,2013-11-12T15:18:27.138133,pass-rates-for-practical-driving-test-car-category,False,None,,UK Open Government Licence (OGL),http://reference.data.gov.uk/id/open-government-licence,"We improve road safety in Great Britain by setting standards for driving and motorcycling, and for the education and training of drivers and riders. We also carry out theory and practical driving and riding tests. We will merge with the Vehicle and Operator Services Agency into a single agency in 2014.

Taken from their [site](https://www.gov.uk/government/organisations/driving-standards-agency/about)",2013-11-12T15:17:06.400609,Driving Standards Agency,driving-standards-agency,2013-11-12T15:17:06.356557,True,active,,643b79cb-a415-427c-95bf-3628a9e551b9,organization,ac8010de-0876-4ad6-8b8a-9f8297820153,approved,a8a693fb-9921-456c-aa94-12e1934b01b8,,,,,,,
06217c75-3868-4b6d-b8fc-89c6b7e5c359,Glasgow City Council,False,data@glasgow.gov.uk,2,202d0f7d-e74f-4947-a7a2-65435c621e2d,2013-11-07T13:52:30.451327,2013-11-12T14:03:34.854770,Glasgow City Council,data@glasgow.gov.uk,active,None,uk-gogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,Sensor data with Arduino and Python,10,10,,,,,,,,,,,,,2013-11-12T13:54:41.993566,sensor-data-with-arduino-and-python,False,None,A demonstrator showing how sensor data can be added to this site. This sensor is for temperature and humidity and will only update the database when the Arduino and sensor is connected to the internet via a laptop or PC.,Glasgow Open Government Licence (GOGL),http://dashboard.glasgow.gov.uk/ckansupport/open.glasgow.gov.uk_Licence_version 1.0.htm,[Glasgow City Council Website](http://www.glasgow.gov.uk),2013-07-17T14:32:33.332102,Glasgow City Council,glasgow-city-council,2013-09-06T11:31:18.288936,True,active,http://data.glasgow.gov.uk/images/20mmGlasgowlogo.jpg,82e0fbc2-863f-440b-92a3-3fa785937717,organization,06217c75-3868-4b6d-b8fc-89c6b7e5c359,approved,2f8678e8-8a93-4c24-85a0-b75e3a7b70e2,,,,,,,
06217c75-3868-4b6d-b8fc-89c6b7e5c359,Glasgow City Council,False,data@glasgow.gov.uk,1,a31509a1-15d7-4102-99ae-ac7f52f4089b,2013-11-08T12:37:52.319661,2013-11-08T14:58:28.664272,Glasgow City Council,,active,None,uk-gogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Nursery, Primary and Secondary Schools",3,3,,,,,,,,,,,,,2013-11-08T14:58:28.664272,nursery-primary-and-secondary-schools,False,None,"A list of Nursery, Primary, Secondary, Additional Services and Additional Support for Learning Establishments in Glasgow listed by the 3 sectors; North West, North East and South.

Data supplied by [Education Services](http://www.glasgow.gov.uk/index.aspx?articleid=8632) of [Glasgow City Council](http://www.glasgow.gov.uk/index.aspx?articleid=1)",Glasgow Open Government Licence (GOGL),http://dashboard.glasgow.gov.uk/ckansupport/open.glasgow.gov.uk_Licence_version 1.0.htm,[Glasgow City Council Website](http://www.glasgow.gov.uk),2013-07-17T14:32:33.332102,Glasgow City Council,glasgow-city-council,2013-09-06T11:31:18.288936,True,active,http://data.glasgow.gov.uk/images/20mmGlasgowlogo.jpg,82e0fbc2-863f-440b-92a3-3fa785937717,organization,06217c75-3868-4b6d-b8fc-89c6b7e5c359,approved,1a0602c3-9ffe-4c4e-8bbf-7dbf77c2c94b,,,,,,,
06217c75-3868-4b6d-b8fc-89c6b7e5c359,Glasgow City Council,False,data@glasgow.gov.uk,1,f0a333b8-9124-4c5c-a012-65706ff7be10,2013-11-08T10:08:45.442413,2013-11-08T12:39:53.124029,Glasgow City Council,,active,None,uk-gogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,School's Performance,4,4,,,,,,,,,,,,,2013-11-08T10:14:45.909694,school-s-performance,False,None,"This data shows attendance and SQA rates as well as number of children looked after in primary schools, secondary schools and Additional Support for Learning schools.

Data supplied by [Education Services](http://www.glasgow.gov.uk/index.aspx?articleid=8621) of [Glasgow City Council](http://www.glasgow.gov.uk/).",Glasgow Open Government Licence (GOGL),http://dashboard.glasgow.gov.uk/ckansupport/open.glasgow.gov.uk_Licence_version 1.0.htm,[Glasgow City Council Website](http://www.glasgow.gov.uk),2013-07-17T14:32:33.332102,Glasgow City Council,glasgow-city-council,2013-09-06T11:31:18.288936,True,active,http://data.glasgow.gov.uk/images/20mmGlasgowlogo.jpg,82e0fbc2-863f-440b-92a3-3fa785937717,organization,06217c75-3868-4b6d-b8fc-89c6b7e5c359,approved,79d8e5e1-e837-4d6d-97c8-fa7d3660cb4a,,,,,,,
06217c75-3868-4b6d-b8fc-89c6b7e5c359,Glasgow City Council,False,data@glasgow.gov.uk,3,e80429d0-0f02-4221-9c18-e73d3affc3f8,2013-11-06T17:36:02.462122,2013-11-06T17:46:48.218612,Glasgow City Council,,active,None,uk-gogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Credit Unions in Glasgow,3,3,,,,,,,,,,,,,2013-11-06T17:46:48.218612,credit-unions-in-glasgow,False,None,,Glasgow Open Government Licence (GOGL),http://dashboard.glasgow.gov.uk/ckansupport/open.glasgow.gov.uk_Licence_version 1.0.htm,[Glasgow City Council Website](http://www.glasgow.gov.uk),2013-07-17T14:32:33.332102,Glasgow City Council,glasgow-city-council,2013-09-06T11:31:18.288936,True,active,http://data.glasgow.gov.uk/images/20mmGlasgowlogo.jpg,82e0fbc2-863f-440b-92a3-3fa785937717,organization,06217c75-3868-4b6d-b8fc-89c6b7e5c359,approved,ef0b168b-5012-4999-9861-3244be90ed5f,,,,,,,
03a30f69-0d41-44a2-b717-7de71c3d26ce,Glasgow City Council,False,data@glasgow.gov.uk,2,bbcafa28-76a6-4a5d-9e28-d0b633e97a93,2013-11-06T16:54:16.731988,2013-11-06T17:00:12.895586,National Trust for Scotland,information@nts.org.uk,active,None,uk-gogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,National Trust for Scotland properties in Glasgow ,6,6,,,,,,,,,,,,,2013-11-06T17:00:12.895586,national-trust-for-scotland-properties-in-glasgow,False,None,"NTS properties in Glasgow showing venue type, address opening hours, NTS webpage link and venue hire details. 
Data supplied   2013-09-25 by [The National Trust for Scotland for Places of Historic Interest or Natural Beauty] (http://www.nts.org.uk/Home/)
",Glasgow Open Government Licence (GOGL),http://dashboard.glasgow.gov.uk/ckansupport/open.glasgow.gov.uk_Licence_version 1.0.htm,,2013-11-06T14:42:59.642481,The National Trust for Scotland ,the-national-trust-for-scotland,2013-11-06T14:42:59.598801,True,active,,3bc6a89a-5f59-4f97-b4dd-89dcaffdcccb,organization,03a30f69-0d41-44a2-b717-7de71c3d26ce,approved,595f8d99-64a8-4878-baef-865f62242a64,,,,,,,
70b3d0fe-17d4-489a-953c-bf5ed95dd6f3,Glasgow City Council,False,data@glasgow.gov.uk,6,f2d5eeb9-915b-43c3-a3f6-feff889bdf35,2013-08-28T10:57:17.142122,2013-11-06T13:11:50.099643,Traveline Scotland,admin@travelinescotland.com,active,None,uk-gogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Scottish Public Transport Services,108,33,,,,,,,,,,,,,2013-11-06T13:11:50.099643,scottish-public-transport-services,False,None,"This is the Traveline Scottish dataset which contains public transport bus, coach, ferry and subway timetables for transport operators in Scotland. It does not include national rail or air services.

The CIF specification can be found [here](http://www.travelinedata.org.uk/CIF/atco-cif-spec.pdf).",Glasgow Open Government Licence (GOGL),http://dashboard.glasgow.gov.uk/ckansupport/open.glasgow.gov.uk_Licence_version 1.0.htm,"Traveline Scotland provides up to date, impartial public transport journey planning and timetables.",2013-09-16T17:22:38.153688,Traveline Scotland,http-www-travelinescotland-com-welcome-do,2013-09-17T12:35:10.604419,True,active,http://data.glasgow.gov.uk/images/travelinescotland_logo.png,aff2adc9-bdc5-4266-ba20-87653c703997,organization,70b3d0fe-17d4-489a-953c-bf5ed95dd6f3,approved,90351335-5cd3-44cb-aa63-306932101aca,,,,,,,
f091706f-b0e8-41df-9a34-c62989a3cf14,Glasgow City Council,False,data@glasgow.gov.uk,1,66d63813-6cc9-40bc-b902-419a88036abd,2013-11-06T11:01:33.178523,2013-11-12T15:50:10.641090,Community Safety Glasgow,,active,None,uk-gogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,CCTV Location ,10,10,,,,,,,,,,,,,2013-11-06T12:08:24.959130,cctv-location,False,None,,Glasgow Open Government Licence (GOGL),http://dashboard.glasgow.gov.uk/ckansupport/open.glasgow.gov.uk_Licence_version 1.0.htm,"Community Safety Glasgow (CSG) is a charitable body and  company jointly owned by Glasgow City Council and Strathclyde Police.
Antisocial behaviour, crime and disorder cover a range of actions - from dropping litter, vandalism and dumping rubbish to petty assault, intimidation or assault. Antisocial behaviour is likely to be experienced by many people across a very broad spectrum of ages, backgrounds, social classes, housing tenures and types of communities. [About Us](http://www.saferglasgow.com/about-us.aspx)
",2013-11-06T11:00:04.038134,Community Safety Glasgow,community-safety-glasgow,2013-11-06T11:00:03.995456,True,active,,eb43b6e9-9fe3-4f9b-be3f-74e082999c5f,organization,f091706f-b0e8-41df-9a34-c62989a3cf14,approved,cfdf6cc9-d277-435b-9de8-c852f7f7c1af,,,,,,,
06217c75-3868-4b6d-b8fc-89c6b7e5c359,Glasgow City Council,False,data@glasgow.gov.uk,1,3cd2c47b-e931-4fca-a2f3-523a630e288d,2013-10-23T10:58:57.450652,2013-11-06T10:48:28.742180,Glasgow City Council,data@glasgow.gov.uk,active,None,uk-gogl,dataset,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Planning Applications,25,20,,,,,,,,,,,,,2013-11-06T10:48:28.742180,planning-applications,False,None,A list of Planning Applications in Glasgow for the time period detailed in the file name. This dataset will be updated periodically.,Glasgow Open Government Licence (GOGL),http://dashboard.glasgow.gov.uk/ckansupport/open.glasgow.gov.uk_Licence_version 1.0.htm,[Glasgow City Council Website](http://www.glasgow.gov.uk),2013-07-17T14:32:33.332102,Glasgow City Council,glasgow-city-council,2013-09-06T11:31:18.288936,True,active,http://data.glasgow.gov.uk/images/20mmGlasgowlogo.jpg,82e0fbc2-863f-440b-92a3-3fa785937717,organization,06217c75-3868-4b6d-b8fc-89c6b7e5c359,approved,8f9cb4f4-d769-4f02-9c3b-e868bf6b3858,,,,,,,
